codigo_sgs,nome_esperado,nome_oficial_catalogo,status,periodicidade,unidade,papel_no_painel,url_catalogo,url_dados,data_extracao_utc,n_observacoes,primeira_obs,ultima_obs
433,Índice nacional de preços ao consumidor-amplo (IPCA),Índice nacional de preços ao consumidor-amplo (IPCA),CONFIRMADO,M,Var. % mensal,DEFLATOR - IPCA var.% mensal; base do indice de precos usado em todo o painel,https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=433,https://api.bcb.gov.br/dados/serie/bcdata.sgs.433/dados?formato=json,2026-08-12T00:27:01Z,139,2015-01-01,2026-07-01
20539,Saldo da carteira de crédito - Total,Saldo da carteira de crédito - Total,CONFIRMADO,M,R$ (milhões),P1 - carteira do SFN (referencia de crescimento do sistema),https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=20539,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20539/dados?formato=json,2026-08-12T00:27:04Z,138,2015-01-01,2026-06-01
20542,Saldo da carteira de crédito com recursos livres - Total,Saldo da carteira de crédito com recursos livres - Total,CONFIRMADO,M,R$ (milhões),P1 - carteira livre do SFN (recorte alternativo),https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=20542,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20542/dados?formato=json,2026-08-12T00:27:06Z,138,2015-01-01,2026-06-01
20622,Saldo da carteira de crédito em relação ao PIB,Saldo da carteira de crédito em relação ao PIB,CONFIRMADO,M,%,"P1 - credito/PIB: contexto de ciclo (faixas de risco, nao limiar unico)",https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=20622,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20622/dados?formato=json,2026-08-12T00:27:09Z,138,2015-01-01,2026-06-01
20572,Saldo da carteira de crédito com recursos livres rotativo - Pessoas físicas,Saldo da carteira de crédito com recursos livres rotativo - Pessoas físicas,CONFIRMADO,M,R$ (milhões),P2 - rotativo PF no sistema (referencia de concentracao em alto risco),https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=20572,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20572/dados?formato=json,2026-08-12T00:27:12Z,138,2015-01-01,2026-06-01
20587,Saldo da carteira de crédito com recursos livres - Pessoas físicas - Cartão de crédito rotativo,Saldo da carteira de crédito com recursos livres - Pessoas físicas - Cartão de crédito rotativo,CONFIRMADO,M,R$ (milhões),P2 - cartao rotativo PF no sistema,https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=20587,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20587/dados?formato=json,2026-08-12T00:27:14Z,138,2015-01-01,2026-06-01
20574,Saldo da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total,Saldo da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total,CONFIRMADO,M,R$ (milhões),P2 - credito pessoal nao consignado (sem garantia) no sistema,https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=20574,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20574/dados?formato=json,2026-08-12T00:27:16Z,138,2015-01-01,2026-06-01
20573,Saldo da carteira de crédito com recursos livres - Pessoas físicas - Cheque especial,Saldo da carteira de crédito com recursos livres - Pessoas físicas - Cheque especial,CONFIRMADO,M,R$ (milhões),P2 - cheque especial PF no sistema,https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=20573,https://api.bcb.gov.br/dados/serie/bcdata.sgs.20573/dados?formato=json,2026-08-12T00:27:18Z,138,2015-01-01,2026-06-01
21082,Inadimplência da carteira de crédito - Total,Inadimplência da carteira de crédito - Total,CONFIRMADO,M,%,P3 - inadimplencia 90+ do SFN (referencia central de P3),https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=21082,https://api.bcb.gov.br/dados/serie/bcdata.sgs.21082/dados?formato=json,2026-08-12T00:27:21Z,138,2015-01-01,2026-06-01
21084,Inadimplência da carteira de crédito - Pessoas físicas - Total,Inadimplência da carteira de crédito - Pessoas físicas - Total,CONFIRMADO,M,%,P3 - inadimplencia PF do SFN,https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=21084,https://api.bcb.gov.br/dados/serie/bcdata.sgs.21084/dados?formato=json,2026-08-12T00:27:23Z,138,2015-01-01,2026-06-01
21112,Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Total,Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Total,CONFIRMADO,M,%,P3 - inadimplencia PF livre (comparavel a Aula 3),https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=21112,https://api.bcb.gov.br/dados/serie/bcdata.sgs.21112/dados?formato=json,2026-08-12T00:27:25Z,138,2015-01-01,2026-06-01
21086,Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total,Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total,CONFIRMADO,M,%,P3 - inadimplencia PJ livre (comparavel a Aula 3),https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=21086,https://api.bcb.gov.br/dados/serie/bcdata.sgs.21086/dados?formato=json,2026-08-12T00:27:27Z,138,2015-01-01,2026-06-01
21127,Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Cartão de crédito rotativo,Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Cartão de crédito rotativo,CONFIRMADO,M,%,P3 - inadimplencia do rotativo: modalidade-farol da Aula 3,https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=21127,https://api.bcb.gov.br/dados/serie/bcdata.sgs.21127/dados?formato=json,2026-08-12T00:27:29Z,138,2015-01-01,2026-06-01
21114,Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total,Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total,CONFIRMADO,M,%,P3 - inadimplencia do sem-garantia,https://www3.bcb.gov.br/wssgs/services/FachadaWSSGS?method=getUltimoValorXML&codigoSerie=21114,https://api.bcb.gov.br/dados/serie/bcdata.sgs.21114/dados?formato=json,2026-08-12T00:27:30Z,138,2015-01-01,2026-06-01
