arquivo,fonte,url,data_extracao_utc,sha256_conteudo,bytes_originais,armazenado_como,observacao
data_raw/ifdata/indice/relatorios2000a2024.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/relatorios2000a2024,2026-08-12T00:23:41Z,2428b8a436e142682cd63eb6155717f58f2524582dcca427654032f45f6acf07,13527657,original,indice de periodos e arquivos publicados
data_raw/ifdata/indice/relatorios2025a2030.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/relatorios2025a2030,2026-08-12T00:23:43Z,a7b30f2b79d0a6e53b7a0e39c317e28379063d5b10b95c65cbf4c2bbfc011f3d,1374735,original,indice de periodos e arquivos publicados
data_raw/ifdata/202603/cadastro202603_1005.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fcadastro202603_1005.json,2026-08-12T00:23:44Z,534a849415fbfe0ff5528e90a22c4cdd88394a6fa6e967b6c482d6f7ab6c7bee,767565,original,IF.data data-base 202603 tipo 1005
data_raw/ifdata/202603/dados202603_1.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fdados202603_1.json,2026-08-12T00:23:47Z,7357ff4ebd4e078da3b1ebb95d1f92ddaca223265ce6fe9cd3dc3fe419b94287,16069020,gzip do original,IF.data data-base 202603
data_raw/ifdata/202603/dados202603_2.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fdados202603_2.json,2026-08-12T00:23:48Z,a5313765dd73b3d656273e588d0fe7ee211decfb236c5aef83f644386ee1bf44,304555,gzip do original,IF.data data-base 202603
data_raw/ifdata/202603/dados202603_3.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fdados202603_3.json,2026-08-12T00:23:50Z,b5ab946cacf9d9fbb12e855607ca62e21734dd916083a9b23a73e7e0d4118d51,5736590,gzip do original,IF.data data-base 202603
data_raw/ifdata/202603/dados202603_4.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fdados202603_4.json,2026-08-12T00:23:51Z,5ea7a7446801cd71a8d25dda399120250f79ece3b2f3f9ef1e322c4816f2aa7f,44906,gzip do original,IF.data data-base 202603
data_raw/ifdata/202603/dados202603_5.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fdados202603_5.json,2026-08-12T00:23:52Z,3318e2ca3f217cfefbb05c7cae3519c8629e6f4217b343d1b86c406b493cfde9,743859,gzip do original,IF.data data-base 202603
data_raw/ifdata/202603/info202603.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Finfo202603.json,2026-08-12T00:23:53Z,a971b090d6b4ef920166bf78cd4ac12ed5c44bbdc0e68e0dca7c2acb051c4662,188690,original,IF.data data-base 202603
data_raw/ifdata/202603/sel202603.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fsel202603.json,2026-08-12T00:23:54Z,3d066ee9963cb8d02df5026f8fdabe9a430f8d75eaad50f5093239bc47b300e0,440,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_105.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_105.json,2026-08-12T00:23:54Z,7c4e58b268d666af97682d41478ecc26bfa0367ae90ef536a2566b81c03bf78b,7618,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_106.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_106.json,2026-08-12T00:23:56Z,07668a5d921d7077acaa2d1c9898f7de0b1931d19cce2abd2d7e5569bc31af7d,8422,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_107.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_107.json,2026-08-12T00:23:57Z,13c03ffa69c174174530cf27e513e5571aeaa062ff2d26dc0bcefa92dc88bc54,8191,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_108.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_108.json,2026-08-12T00:23:57Z,0dc7f59969c06da94c367814241ad578eaafc1a6b0c8c3e342e8f69d54cd1399,7282,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_109.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_109.json,2026-08-12T00:23:58Z,ad9633aa31ba87f3703182d857ff94fbb6defe71b088c9e9152a8763396f767b,8090,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_110.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_110.json,2026-08-12T00:23:59Z,085366abf44372c5df309f11ae4167ab15c37705e25f0231c10d4fab53b85a12,7853,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_115.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_115.json,2026-08-12T00:23:59Z,3908b034bc24e8634dedd656c60a15f9b5b63dff3395f8c00a5a0567d98d5742,9695,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_116.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_116.json,2026-08-12T00:24:00Z,906656642dc06626ee539e419801bcde8a78f709b47e9bc102bd17ee82918c1a,12452,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_117.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_117.json,2026-08-12T00:24:00Z,5b70e4a06af2c70c386cfea3bc228d9043e246f75659e3286c36a788c4d3c963,12250,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_118.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_118.json,2026-08-12T00:24:01Z,070cee551f800ec2d2dc7e1210d6321d7fb1a8e33c69e80335fc7460c8741369,13023,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_119.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_119.json,2026-08-12T00:24:02Z,874c472ea09c01f376d2bb5a1136bee46762c689cd3d16e92552f3f627316db2,7844,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_120.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_120.json,2026-08-12T00:24:02Z,a58747f8f07e0653f6b6a8e61b6579882ea9cb87d85a3cc330ad3ebf93965a16,8078,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_121.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_121.json,2026-08-12T00:24:03Z,0caeb255ae8189ce3139de346c7c18a0953e0e0deef850ba56c90bd9b9830ad5,8645,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_123.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_123.json,2026-08-12T00:24:03Z,9af83d253c95f0a067c8ab46e2934b51adb87664d5e971acb8caf22d6788e6b6,27074,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_124.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_124.json,2026-08-12T00:24:04Z,774238c854231e900d41f091dcdee73a4c8d9c7355cb05ab86229b2bbd79b856,10451,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_125.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_125.json,2026-08-12T00:24:26Z,724c6e60c7f510296eb5c11505006aac7b0a49f0ee514cac96900a3c64059635,13929,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_126.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_126.json,2026-08-12T00:24:28Z,e4929b8c0941572337a5eba474710c1b6fae0f67de71b30eae0eb115e0c6c823,9780,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_127.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_127.json,2026-08-12T00:24:30Z,6099d16140cf4dae57942c2fb67b625439d8692e4e27b648d9f49e4cd3d5a2b2,10764,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_128.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_128.json,2026-08-12T00:24:31Z,d811b81e9eb41ff86ee67a993f890107cac87573202e7afe761918355925f2e0,32771,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_129.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_129.json,2026-08-12T00:24:32Z,26f89dbdaf72c4e60a377de86d48fc3a32526e46c3eb364dfa1ff861b63cb25e,33170,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_130.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_130.json,2026-08-12T00:24:33Z,3a06d7cc0936a5b898b053e88b71e894b7ac6591a7325ef833878b467d960a27,9631,original,IF.data data-base 202603
data_raw/ifdata/202603/trel202603_131.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Ftrel202603_131.json,2026-08-12T00:24:34Z,f8f91ab8aee26412a15278d5ca07e17379ea5c020f9d67166ce8a2cb8ada4ef2,5605,original,IF.data data-base 202603
data_raw/ifdata/202603/cadastro202603_1009.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata_2025_2030%2F%2F202603%2Fcadastro202603_1009.json,2026-08-12T00:25:12Z,8467c4efa2c945ff15db0b35d3be1a3377e6e329c22f4750f12912abe153da1b,730761,original,IF.data data-base 202603 tipo 1009
data_raw/ifdata/201903/cadastro201903_1005.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Fcadastro201903_1005.json,2026-08-12T00:25:35Z,c8d393e20af9abc83480188fc4983e04d7fabf4d14568d2e57d08d6da5d04a7f,608123,original,IF.data data-base 201903 tipo 1005
data_raw/ifdata/201903/dados201903_1.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Fdados201903_1.json,2026-08-12T00:25:39Z,c929ee1a0d38191e6ec5eb6297d72fe8fb9e546b37216f865ecf1ba755296e92,7078127,gzip do original,IF.data data-base 201903
data_raw/ifdata/201903/dados201903_2.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Fdados201903_2.json,2026-08-12T00:25:40Z,7174f9c5e589ad8ca319240a46df5209f364f6e7d37d7d64bf155d92bc0e483a,166668,gzip do original,IF.data data-base 201903
data_raw/ifdata/201903/dados201903_3.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Fdados201903_3.json,2026-08-12T00:25:44Z,0175a1c5671864f4f2b7a88b698eca42286b376132005661dc7b64cc8444a9ee,6965395,gzip do original,IF.data data-base 201903
data_raw/ifdata/201903/dados201903_4.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Fdados201903_4.json,2026-08-12T00:25:45Z,d94ab291c390d91fc3f28f3fc47d4e19b987f745517f9f02ad08abe8ab596a18,85654,gzip do original,IF.data data-base 201903
data_raw/ifdata/201903/info201903.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Finfo201903.json,2026-08-12T00:25:46Z,a1a3eea86081d2c098dbc06c373dfa1510824ea6ce5f83c99ff476df34c2d06e,127520,original,IF.data data-base 201903
data_raw/ifdata/201903/sel201903.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Fsel201903.json,2026-08-12T00:26:08Z,eda10a191d168a660d568e78d818f19222951f2859e2c83ea3e01f818c4f3538,559,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_3.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_3.json,2026-08-12T00:26:09Z,d72ffb12e102cba8a7b31c892c06698a043d0c102196309d8c81fa1574ead7a2,6014,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_4.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_4.json,2026-08-12T00:26:09Z,2f2b7076381e3fe45ff7f4ca45ca8fddcff300697a8dc9414fda04d561dd87de,6598,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_6.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_6.json,2026-08-12T00:26:10Z,dc957c6b7740a155774499c3d8f507342fb1078b1d840c5f6a21dba9fc0a901d,8907,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_62.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_62.json,2026-08-12T00:26:10Z,160fe74ceaba3a7951635c065a20fd2cbe4df8c366a8677ed0ebf8b324bac7a6,24014,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_64.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_64.json,2026-08-12T00:26:11Z,c65227fcc66f8c5ca2266b47c520a976236125df21c4727ae91f25a135297b48,6161,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_65.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_65.json,2026-08-12T00:26:12Z,cc01d1a31e0693ce638b0ddd90d45d45fe01090cf774eaef515f21565225ea8b,9561,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_66.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_66.json,2026-08-12T00:26:12Z,fad5259d73ff2b1e2802a0b032b04a8a7709974c4fb86dd4b0e4acf49deb4b9f,6887,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_67.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_67.json,2026-08-12T00:26:13Z,de71fec97e46b65b8fdb613e394fb3c3728eea92027cfb271b2666c818546466,7784,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_68.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_68.json,2026-08-12T00:26:13Z,f2bff44e6d41c94f65c6d45528a574d585af7352a8373828aa031577d02f7796,6958,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_70.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_70.json,2026-08-12T00:26:14Z,cd87a48c7a9a94acaf8c99e9b643822280b04eccad7f58da2b77d43e3c78b461,6430,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_71.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_71.json,2026-08-12T00:26:14Z,6983d3da361800b9c8c7aa2838a6dfeac756d8b055c5a49ef3f3cb462e8e388c,28436,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_73.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_73.json,2026-08-12T00:26:15Z,d87bdb3454f80b09a61f7cd75412b7a9344f945a38d5992ee2f615657e6101a7,30012,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_77.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_77.json,2026-08-12T00:26:16Z,36a507fe8b5baf52fc9785f334d239c3c5a194efcfd78339d54e8fae6a3656e2,5753,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_78.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_78.json,2026-08-12T00:26:16Z,eac0017efe85f7253825841f23b1b10d9464d06d0c69e370ff6ee5fb258716e2,6330,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_80.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_80.json,2026-08-12T00:26:17Z,eea8e561240a2bc704c3b6e630f392b50e2cd126eebbfd0082df73d45e6bacf6,5290,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_81.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_81.json,2026-08-12T00:26:17Z,5769e1568904a2f811732b46d5079e5ce2efb8eb0aa548dd588b853b9f0d651d,5140,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_90.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_90.json,2026-08-12T00:26:18Z,66b8acb73197831e986686369b929105dce9d882b5e4c389303157a8c8ef836b,8089,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_91.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_91.json,2026-08-12T00:26:19Z,08bae9a1e3260d0ac0e6779d3cdd32139668035dd6556fb0db46fa00bfc306f6,8881,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_92.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_92.json,2026-08-12T00:26:19Z,0671fcc41fd0c402dc4db9f41af22b8a60531e25110e1b88c1b155dfc15632c8,6520,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_93.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_93.json,2026-08-12T00:26:20Z,e8086fbddd127ef03fc1f44c036d7aa672bd5600cdd1ceb9a86ada2587ff4b07,6376,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_94.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_94.json,2026-08-12T00:26:21Z,3ccebfcdca14a791d4ae29058f7b51f8a013c90de0803e939e92b632dffdd5bc,8666,original,IF.data data-base 201903
data_raw/ifdata/201903/trel201903_95.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201903%2Ftrel201903_95.json,2026-08-12T00:26:21Z,dd5557a20b4308cfbf3eb7e23e25abb16675d4437cfd54437cb193c1a3ecbcff,6890,original,IF.data data-base 201903
data_raw/ifdata/201906/cadastro201906_1005.json,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201906%2Fcadastro201906_1005.json,2026-08-12T00:26:22Z,e870579c8e7eecdd0c8591253dfe387828b4fd60a57eee50270424aa5d6ccb0a,600535,original,IF.data data-base 201906 tipo 1005
data_raw/ifdata/201906/dados201906_1.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201906%2Fdados201906_1.json,2026-08-12T00:26:26Z,3d410a183e8b2b5c4f47fecf7bd40358113e0e430b05fd7c8bcc2dd5cbb9455d,7102667,gzip do original,IF.data data-base 201906
data_raw/ifdata/201906/dados201906_2.json.gz,BCB/IF.data,https://www3.bcb.gov.br/ifdata/rest/arquivos?nomeArquivo=ifdata%2F201906%2Fdados201906_2.json,2026-08-12T00:26:26Z,1228de4b99cceef09671e0d3f17e16f0de25d6fd0f425695392ed1e66431c2fd,167217,gzip do original,IF.data data-base 201906
