"Codigo","Nome","Periodicidade","Unidade","UltimaData","UltimoValor","Status"
"433","Índice nacional de preços ao consumidor-amplo (IPCA)","M","Var. % mensal","/2026","0,07","CONFIRMADO"
"1737","","","","","","ERRO: O servidor remoto retornou um erro: (500) Erro Interno do Servidor."
"20539","Saldo da carteira de crédito - Total","M","R$ (milhões)","/2026","7.355.800","CONFIRMADO"
"20542","Saldo da carteira de crédito com recursos livres - Total","M","R$ (milhões)","/2026","4.162.456","CONFIRMADO"
"20543","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Total","M","R$ (milhões)","/2026","1.622.606","CONFIRMADO"
"20622","Saldo da carteira de crédito em relação ao PIB","M","%","/2026","55,76","CONFIRMADO"
"20623","Saldo da carteira de crédito a pessoas jurídicas em relação ao PIB","M","%","/2026","20,84","CONFIRMADO"
"21082","Inadimplência da carteira de crédito - Total","M","%","/2026","4,68","CONFIRMADO"
"21084","Inadimplência da carteira de crédito - Pessoas físicas - Total","M","%","/2026","5,57","CONFIRMADO"
"21085","Inadimplência da carteira de crédito com recursos livres - Total","M","%","/2026","6,22","CONFIRMADO"
"21112","Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Total","M","%","/2026","7,63","CONFIRMADO"
"21113","Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Cheque especial","M","%","/2026","16,14","CONFIRMADO"
"28545","Massa de rendimento real habitual de todos os trabalhos","M","R$ (milhões)","/2026","380.309,00","CONFIRMADO"
"20714","Taxa média de juros das operações de crédito - Total","M","% a.a.","/2026","33,44","CONFIRMADO"
"20716","Taxa média de juros das operações de crédito - Pessoas físicas - Total","M","% a.a.","/2026","39,44","CONFIRMADO"
"7326","Produto Interno Bruto - Taxa de variação real no ano","A","Var. % anual","/2025","2,29","CONFIRMADO"
