"Codigo","Nome","Periodicidade","Unidade"
"20539","Saldo da carteira de crédito - Total","M","R$ (milhões)"
"20540","Saldo da carteira de crédito - Pessoas jurídicas - Total","M","R$ (milhões)"
"20541","Saldo da carteira de crédito - Pessoas físicas - Total","M","R$ (milhões)"
"20542","Saldo da carteira de crédito com recursos livres - Total","M","R$ (milhões)"
"20543","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Total","M","R$ (milhões)"
"20544","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de duplicatas e recebíveis","M","R$ (milhões)"
"20545","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques","M","R$ (milhões)"
"20546","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Antecipação de faturas de cartão de crédito","M","R$ (milhões)"
"20547","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias","M","R$ (milhões)"
"20548","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias","M","R$ (milhões)"
"20549","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo","M","R$ (milhões)"
"20550","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Capital de giro total","M","R$ (milhões)"
"20551","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Conta garantida","M","R$ (milhões)"
"20552","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Cheque especial","M","R$ (milhões)"
"20553","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos","M","R$ (milhões)"
"20554","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de outros bens","M","R$ (milhões)"
"20555","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Aquisição de bens total","M","R$ (milhões)"
"20556","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos","M","R$ (milhões)"
"20557","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de outros bens","M","R$ (milhões)"
"20558","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil total","M","R$ (milhões)"
"20559","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Vendor","M","R$ (milhões)"
"20560","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Compror","M","R$ (milhões)"
"20561","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito rotativo","M","R$ (milhões)"
"20562","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito parcelado","M","R$ (milhões)"
"20563","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito à vista","M","R$ (milhões)"
"20564","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total","M","R$ (milhões)"
"20565","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC)","M","R$ (milhões)"
"20566","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Financiamento a importações","M","R$ (milhões)"
"20567","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Financiamento a exportações","M","R$ (milhões)"
"20568","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Repasse externo","M","R$ (milhões)"
"20569","Saldo da carteira de crédito com recursos livres - Pessoas jurídicas - Outros créditos livres","M","R$ (milhões)"
"20570","Saldo da carteira de crédito com recursos livres - Pessoas físicas - Total","M","R$ (milhões)"
"20571","Saldo da carteira de crédito com recursos livres não rotativo - Pessoas físicas","M","R$ (milhões)"
"20572","Saldo da carteira de crédito com recursos livres rotativo - Pessoas físicas","M","R$ (milhões)"
"20573","Saldo da carteira de crédito com recursos livres - Pessoas físicas - Cheque especial","M","R$ (milhões)"
"20574","Saldo da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total","M","R$ (milhões)"
"20575","Saldo da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas","M","R$ (milhões)"
"20576","Saldo da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado","M","R$ (milhões)"
