cod_inst,instituicao,tcb,uf,sistema_atribuido,ultimo_trimestre,carteira_real
54037916,COOPERATIVA DE CREDITO CREDICITRUS,b3S,SP,(sem marca no nome - segue individual),202603,9.013443e+09
82639451,COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,b3S,SC,(sem marca no nome - segue individual),202603,8.525611e+09
37395399,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,6.266533e+09
2398976,SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO,b3S,PR,(sem marca no nome - segue individual),202603,5.640756e+09
815319,COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO,b3S,ES,(sem marca no nome - segue individual),202603,4.549208e+09
2282709,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO,b3S,GO,(sem marca no nome - segue individual),202603,2.7140285e+09
81723108,CREDICOAMO CREDITO RURAL COOPERATIVA,b3S,PR,(sem marca no nome - segue individual),202603,2.7035348e+09
24795049,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO,b3S,GO,(sem marca no nome - segue individual),202603,2.668297e+09
1658426,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA,b3S,DF,(sem marca no nome - segue individual),202603,2.3336302e+09
8075352,"COOPERATIVA DE CRÉDITO DOS TRANSPORTES, CORREIOS E LOGÍSTICA DO BRASIL - TRANSPOCRED",b3S,SC,(sem marca no nome - segue individual),202603,2.1765046e+09
85291086,COOPERATIVA DE CRÉDITO LITORÂNEA,b3S,SC,(sem marca no nome - segue individual),202603,1.3872376e+09
16779741,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE,b3S,SC,(sem marca no nome - segue individual),202603,1.3324453e+09
78825023,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OESTE CATARINENSE,b3S,SC,(sem marca no nome - segue individual),202603,1.2484788e+09
44469161,COOPERATIVA DE CRÉDITO PRO,b3S,SP,(sem marca no nome - segue individual),202603,1.2450152e+09
7599206,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.,b3S,GO,(sem marca no nome - segue individual),202603,1.0863681e+09
67096909,COOPERATIVA DE CRÉDITO CREDICOCAPEC,b3S,SP,(sem marca no nome - segue individual),202603,9.2320045e+08
9512539,COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ,b3S,SC,(sem marca no nome - segue individual),202603,9.1782976e+08
10311218,COOPERATIVA DE CRÉDITO EVOLUA,b3S,PR,(sem marca no nome - segue individual),202603,8.783323e+08
3461243,COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP,b3S,SC,(sem marca no nome - segue individual),202603,8.5391386e+08
32474884,COOPERATIVA DE CRÉDITO SUL-LITORÂNEA DO ESPÍRITO SANTO,b3S,ES,(sem marca no nome - segue individual),202603,8.241958e+08
66402207,COOPERATIVA DE CRÉDITO SAROM,b3S,MG,(sem marca no nome - segue individual),202603,8.029787e+08
54401286,COOPERATIVA DE CRÉDITO COCRE,b3S,SP,(sem marca no nome - segue individual),202603,7.42422e+08
49389307,COOPERATIVA DE CREDITO COOPLIVRE,b3S,SP,(sem marca no nome - segue individual),202603,6.865347e+08
10218474,COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - CIVIA,b3S,SC,(sem marca no nome - segue individual),202603,6.757501e+08
73647935,COOPERATIVA DE CRÉDITO UNIQUE BR,b3S,MS,(sem marca no nome - segue individual),202603,6.4168384e+08
